event_id,start_s,end_s,duration_s,anomalous_samples,detection_source,primary_signals,triggered_rules,reason,ml_score,statistical_score,fused_score,flight_id
6,472.5,489.1,16.6,166,ml,engine_rpm,,local RPM residual,25.106496587940118,6.052098928049139,25.106496587940118,151
1,47.7,52.5,4.800000000000001,48,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,2.230668800725215,0.8822768833930722,2.230668800725215,163
2,158.3,159.7,1.4000000000000001,14,ml,ias_kt,,local airspeed residual,26.39830512327071,6.817914814308498,26.39830512327071,163
3,257.4,269.90000000000003,12.5,125,ml,yaw_rate_dps,,lateral band energy,37.53458142480161,6.3109353036936415,37.53458142480161,163
4,372.6,374.70000000000005,2.1,6,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,2.5350833159960433,1.32682619381604,2.5350833159960433,163
5,381.7,383.40000000000003,1.7000000000000002,7,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,2.5943194476922717,1.4577751962176861,2.5943194476922717,163
6,408.8,423.40000000000003,14.600000000000001,146,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,11.628198568099938,3.547638403026234,11.628198568099938,163
7,466.9,478.8,11.9,119,ml,engine_rpm,,local RPM residual,50.46394616245608,10.885118774026012,50.46394616245608,163
1,48.8,71.19999999999999,22.400000000000002,224,ml,roll_deg; yaw_rate_dps,,lateral band energy,88.36613556999104,11.115800439020957,88.36613556999104,179
2,145.8,177.7,31.900000000000002,313,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,15.087639394534571,4.274037228078952,15.087639394534571,179
3,179.5,196.79999999999998,17.3,173,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,53.042770563737086,12.94114036054749,53.042770563737086,179
4,255.5,256.40000000000003,0.9,9,ml,ias_kt,,local airspeed residual,35.409542639493054,8.707958786114451,35.409542639493054,179
5,367.4,376.3,8.9,89,ml,engine_rpm,,local RPM residual,58.62031869109554,12.397847010513173,58.62031869109554,179
6,465.9,468.8,2.9000000000000004,29,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,1.9731613170598632,0.6995360234190099,1.9731613170598632,179
1,47.4,87.69999999999999,40.300000000000004,401,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,13.747842771876499,3.81197145963584,13.747842771876499,191
2,89.8,108.19999999999999,18.400000000000002,183,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,37.300873984720766,9.251736624645245,37.300873984720766,191
3,154.7,157.5,2.8000000000000003,28,ml,ias_kt,,local airspeed residual,13.623134935751207,4.239129877546763,13.623134935751207,191
4,262.6,275.1,12.5,125,ml,engine_rpm,,local RPM residual,75.99949541638028,15.569622727688106,75.99949541638028,191
5,355.6,378.1,22.5,225,ml,roll_deg; yaw_rate_dps,,lateral band energy,91.40315654740469,11.21985463693711,91.40315654740469,191
6,472.0,476.6,4.6000000000000005,46,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,2.041104010715313,0.6919057122263711,2.041104010715313,191
